"egame_id","dates","away","home","away_short","home_short","favorite","spread","update_ts"
400934573,2017-09-02 19:30:00,"Temple","Notre Dame","TEM","ND","ND","-17.0",2017-08-26 03:49:08
400935229,2017-09-01 00:00:00,"Ohio State","Indiana","OSU","IND","OSU","-20.5",2017-08-26 03:49:08
400935230,2017-08-31 23:00:00,"Buffalo","Minnesota","BUFF","MINN","MINN","-26.0",2017-08-26 03:49:08
400935231,2017-09-02 01:00:00,"Utah State","Wisconsin","USU","WIS","WIS","-28.0",2017-08-26 03:49:08
400935232,2017-09-02 16:00:00,"Ball State","Illinois","BALL","ILL","ILL","-7.0",2017-08-26 03:49:08
400935233,2017-09-02 16:00:00,"Wyoming","Iowa","WYO","IOWA","IOWA","-12.5",2017-08-26 03:49:08
400935234,2017-09-02 16:00:00,"Bowling Green","Michigan State","BGSU","MSU","MSU","-18.0",2017-08-26 03:49:08
400935235,2017-09-03 00:00:00,"Arkansas State","Nebraska","ARST","NEB","NEB","-16.5",2017-08-26 03:49:08
400935236,2017-09-02 19:30:00,"Nevada","Northwestern","NEV","NW","NW","-24.5",2017-08-26 03:49:08
400935237,2017-09-02 16:00:00,"Akron","Penn State","AKR","PSU","PSU","-32.0",2017-08-26 03:49:08
400935238,2017-09-02 23:30:00,"Louisville","Purdue","LOU","PUR","LOU","-25.0",2017-08-26 03:49:08
400935247,2017-09-01 02:30:00,"New Mexico State","Arizona State","NMSU","ASU","ASU","-23.5",2017-08-26 03:49:08
400935248,2017-08-31 23:30:00,"North Dakota","Utah","UND","UTAH","","",2017-08-26 03:49:08
400935249,2017-09-02 00:00:00,"Colorado State","Colorado","CSU","COLO","","",2017-08-26 03:49:08
400935250,2017-09-02 00:00:00,"Washington","Rutgers","WASH","RUTG","WASH","-30.5",2017-08-26 03:49:08
400935251,2017-09-03 03:00:00,"Northern Arizona","Arizona","NAU","ARIZ","","",2017-08-26 03:49:08
400935252,2017-09-02 21:15:00,"Western Michigan","USC","WMU","USC","USC","-28.0",2017-08-26 03:49:08
