"oddsshark_team_name","spread","underdog","week","update_ts"
"Florida State",7,1,1,2017-08-20 22:51:18
"Southern Utah",NA,NA,1,2017-08-20 22:51:18
"Oregon",NA,NA,1,2017-08-20 22:51:18
"UC Davis",NA,NA,1,2017-08-20 22:51:18
"San Diego State",NA,NA,1,2017-08-20 22:51:18
"Howard",NA,NA,1,2017-08-20 22:51:18
"UNLV",NA,NA,1,2017-08-20 22:51:18
"LSU",-13,0,1,2017-08-20 22:51:18
"BYU",13,1,1,2017-08-20 22:51:18
"Incarnate Word",NA,NA,1,2017-08-20 22:51:18
"Fresno State",NA,NA,1,2017-08-20 22:51:18
"Montana State",NA,NA,1,2017-08-20 22:51:18
"Washington State",NA,NA,1,2017-08-20 22:51:18
"Northern Arizona",NA,NA,1,2017-08-20 22:51:18
"Arizona",NA,NA,1,2017-08-20 22:51:18
"Western Carolina",NA,NA,1,2017-08-20 22:51:18
"Hawaii",NA,NA,1,2017-08-20 22:51:18
"Texas A&M",3,1,1,2017-08-20 22:51:18
"UCLA",-3,0,1,2017-08-20 22:51:18
"West Virginia",4.5,1,1,2017-08-20 22:51:18
"Virginia Tech",-4.5,0,1,2017-08-20 22:51:18
"Tennessee",-3,0,1,2017-08-20 22:51:18
"Georgia Tech",3,1,1,2017-08-20 22:51:18
