"egame_id","game_id","away_team","away_score","home_team","home_score","favorite","final_spread","status","winner","is.upset","update.ts"
400934573,85,"TEM",16,"ND",49,"ND",19,"Final","ND",0,2017-09-03 00:48:03
400935229,11,"OSU",49,"IND",21,"OSU",21,"Final","OSU",0,2017-09-03 00:48:03
400935230,13,"BUFF",7,"MINN",17,"MINN",22,"Final","MINN",0,2017-09-03 00:48:03
400935231,23,"USU",10,"WIS",59,"WIS",27,"Final","WIS",0,2017-09-03 00:48:03
400935232,39,"BALL",21,"ILL",24,"ILL",5,"Final","ILL",0,2017-09-03 00:48:03
400935233,40,"WYO",3,"IOWA",24,"IOWA",12,"Final","IOWA",0,2017-09-03 00:48:03
400935234,48,"BGSU",10,"MSU",35,"MSU",17,"Final","MSU",0,2017-09-03 00:48:03
400935235,51,"ARST",36,"NEB",43,"NEB",14.5,"Final","NEB",0,2017-09-03 00:48:03
400935236,55,"NEV",20,"NW",31,"NW",24,"Final","NW",0,2017-09-03 00:48:03
400935237,62,"AKR",0,"PSU",52,"PSU",30,"Final","PSU",0,2017-09-03 00:48:03
400935238,82,"LOU",35,"PUR",28,"LOU",26.5,"Final","LOU",0,2017-09-03 00:48:03
400935247,6,"NMSU",31,"ASU",37,"ASU",25.5,"Final","ASU",0,2017-09-03 00:48:03
400935248,15,"UND",16,"UTAH",37,"UTAH",21,"Final","UTAH",0,2017-09-03 00:48:03
400935249,24,"CSU",3,"COLO",17,"COLO",3,"Final","COLO",0,2017-09-03 00:48:03
400935250,21,"WASH",30,"RUTG",14,"WASH",28,"Final","WASH",0,2017-09-03 00:48:03
400935252,73,"WMU",31,"USC",49,"USC",28,"Final","USC",0,2017-09-03 00:48:03
400935253,60,"SUU",21,"ORE",77,"ORE",39.5,"Final","ORE",0,2017-09-03 00:48:03
400935254,61,"PRST",32,"ORST",35,"ORST",24.5,"Final","ORST",0,2017-09-03 00:48:03
400935256,53,"CAL",35,"UNC",30,"UNC",13.5,"Final","CAL",1,2017-09-03 00:48:03
400935257,5,"STAN",62,"RICE",7,"STAN",30.5,"Final","STAN",0,2017-09-03 00:48:03
400935282,3,"ORST",27,"CSU",58,"CSU",3,"Final","CSU",0,2017-09-03 00:48:03
400937445,16,"PRE",7,"WAKE",51,"WAKE",42.5,"Final","WAKE",0,2017-09-03 00:48:03
400937446,20,"BC",23,"NIU",20,"BC",3.5,"Final","BC",0,2017-09-03 00:48:03
400937447,32,"KENT",3,"CLEM",56,"CLEM",38,"Final","CLEM",0,2017-09-03 00:48:03
400937448,34,"NCCU",7,"DUKE",60,"DUKE",36,"Final","DUKE",0,2017-09-03 00:48:03
400937449,47,"BCU",13,"MIAMI",41,"MIAMI",1,"Final","MIAMI",0,2017-09-03 00:48:03
400937450,63,"YSU",0,"PITT",7,"PITT",13,"Final/OT","PITT",0,2017-09-03 00:48:03
400937451,22,"CCSU",7,"SYR",50,"SYR",46,"Final","SYR",0,2017-09-03 00:48:03
400937452,76,"W&M",10,"UVA",28,"UVA",28,"Final","UVA",0,2017-09-03 00:48:03
400938591,71,"FIU",17,"UCF",61,"UCF",17.5,"Final","UCF",0,2017-09-03 00:48:03
400938592,26,"NAVY",42,"FAU",19,"NAVY",9,"Final","NAVY",0,2017-09-03 00:48:03
400938593,45,"NWST",24,"LT",52,"LT",39.5,"Final","LT",0,2017-09-03 00:48:03
400938594,46,"M-OH",26,"MRSH",31,"M-OH",4,"Final","MRSH",1,2017-09-03 00:48:03
400938595,54,"LAM",14,"UNT",59,"UNT",17,"Final","UNT",0,2017-09-03 00:48:03
400938596,58,"ALBY",17,"ODU",31,"ODU",24.5,"Final","ODU",0,2017-09-03 00:48:03
400938597,70,"AAMU",7,"UAB",38,"UAB",27.5,"Final","UAB",0,2017-09-03 00:48:03
400938599,78,"EKY",17,"WKU",31,"WKU",38.5,"Final","WKU",0,2017-09-03 00:48:03
400938887,2,"HAW",38,"UMASS",35,"UMASS",2.5,"Final","HAW",1,2017-09-03 00:48:03
400938888,33,"UMASS",28,"CCU",38,"UMASS",2.5,"Final","CCU",1,2017-09-03 00:48:03
400941786,4,"USF",42,"SJSU",22,"USF",21,"Final","USF",0,2017-09-03 00:48:03
400941787,8,"PEAY",14,"CIN",26,"CIN",1,"Final","CIN",0,2017-09-03 00:48:03
400941788,9,"HC",20,"CONN",27,"CONN",22.5,"Final","CONN",0,2017-09-03 00:48:03
400941789,12,"ULM",29,"MEM",37,"MEM",28,"Final","MEM",0,2017-09-03 00:48:03
400941790,35,"JMU",34,"ECU",14,"JMU",2.5,"Final","JMU",0,2017-09-03 00:48:03
400941791,74,"STON",17,"USF",31,"USF",36,"Final","USF",0,2017-09-03 00:48:03
400941792,65,"SFA",14,"SMU",58,"SMU",30,"Final","SMU",0,2017-09-03 00:48:03
400941793,87,"GRAM",14,"TULN",43,"TULN",22,"Final","TULN",0,2017-09-03 00:48:03
400944826,10,"TNST",17,"GAST",10,"GAST",15,"Final","TNST",1,2017-09-03 00:48:03
400944827,18,"SAC",6,"IDHO",28,"IDHO",23.5,"Final","IDHO",0,2017-09-03 00:48:03
400944828,44,"SELA",48,"ULL",51,"ULL",14.5,"Final","ULL",0,2017-09-03 00:48:03
400944829,68,"HBU",11,"TXST",20,"TXST",15.5,"Final","TXST",0,2017-09-03 00:48:03
400944830,31,"TROY",13,"BSU",24,"BSU",11,"Final","BSU",0,2017-09-03 00:48:03
400944889,14,"ELON",13,"TOL",47,"TOL",44.5,"Final","TOL",0,2017-09-03 00:48:03
400944890,7,"URI",6,"CMU",9,"CMU",34.5,"Final/3OT","CMU",0,2017-09-03 00:48:03
400944891,19,"CHAR",7,"EMU",24,"EMU",14,"Final","EMU",0,2017-09-03 00:48:03
400944892,84,"HAMP",0,"OHIO",59,"OHIO",1,"Final","OHIO",0,2017-09-03 00:48:03
400945031,1,"PRST",6,"BYU",20,"BYU",37,"Final","BYU",0,2017-09-03 00:48:03
400945246,27,"VMI",0,"AFA",62,"AFA",36,"Final","AFA",0,2017-09-03 00:48:03
400945247,52,"ACU",14,"UNM",38,"UNM",34,"Final","UNM",0,2017-09-03 00:48:03
400945250,89,"UCD",17,"SDSU",38,"SDSU",35,"Final","SDSU",0,2017-09-03 00:48:03
400945251,64,"CP",13,"SJSU",34,"SJSU",11,"Final","SJSU",0,2017-09-03 00:48:03
400945252,72,"HOW",43,"UNLV",40,"UNLV",1,"Final","HOW",1,2017-09-03 00:48:03
