team_id,true_team_name,oddsshark_team,espn_team_name,mascot,city,state,conference,division,primary_color_id,secondary_color_id
240,Wake Forest,Wake Forest,Wake Forest,Demon Deacons,Winston-Salem,NC,ACC,FBS,#000000,#9E7E38
241,Washington,Washington,Washington,Huskies,Seattle,WA,Pac-12,FBS,#363c74,#e8d3a2
242,Washington State,Washington State,Washington State,Cougars,Pullman,WA,Pac-12,FBS,#97002F,#FFFFFF
243,Weber State,Weber State,Weber State,Wildcats,Ogden,UT,Big Sky,FCS,#29086B,#FFFFFF
244,West Virginia,West Virginia,West Virginia,Mountaineers,Morgantown,WV,Big 12,FBS,#002855,#EAAA00
245,Western Carolina,Western Carolina,Western Carolina,Catamounts,Cullowhee,NC,Southern,FCS,#492F91,#FFFFFF
246,Western Illinois,Western Illinois,Western Illinois,Leathernecks,Macomb,IL,Missouri Valley,FCS,#6812BB,#DFFF16
247,Western Kentucky,WKU,Western Kentucky,Hilltoppers,Bowling Green,KY,C-USA,FBS,#B01E24,#FFFFFF
248,Western Michigan,Western Michigan,Western Michigan,Broncos,Kalamazoo,MI,MAC,FBS,#6c4023,#b5a167
249,William & Mary,William & Mary,William & Mary,Tribe,Williamsburg,VA,CAA,FCS,#103217,#FDF71C
250,Wisconsin,Wisconsin,Wisconsin,Badgers,Madison,WI,Big Ten,FBS,#c5050c,#FFFFFF
251,Wofford,Wofford,Wofford,Terriers,Spartanburg,SC,Southern,FCS,#000000,#FFD700
252,Wyoming,Wyoming,Wyoming,Cowboys,Laramie,WY,Mountain West,FBS,#492f24,#ffc425
253,Yale,,Yale,Bulldogs,New Haven,CT,Ivy,FCS,#004A81,#040404
254,Youngstown State,Youngstown State,Youngstown State,Penguins,Youngstown,OH,Missouri Valley,FCS,#E51937,#231F20
